Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,Customer,State,Customer Lifetime Value,Education,Gender,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
NB79936,WA,M,Bachelor,834698.32%,48259.0,108.0,1/0/00,Personal Auto,Two-Door Car,73.700573,SD62061,Oregon,F,High School or Below,581063.05%,24860.0,73.0,1/0/00,350.4,Personal Auto,Four-Door Car,RC72799,Oregon,2839.808041,College,F,33252,71,0,Personal Auto,407.668083,Four-Door Car
NT89061,Arizona,F,High School or Below,632392.39%,78532.0,78.0,1/0/00,Personal Auto,Four-Door Car,374.4,VP13613,California,M,Bachelor,394272.58%,65404.0,99.0,1/0/00,300.703109,Personal Auto,Four-Door Car,AN67558,Nevada,3288.209809,College,M,0,102,1,Personal Auto,734.4,SUV
AF10970,Arizona,F,Bachelor,597314.34%,96163.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4,HF96939,Oregon,M,High School or Below,312627.19%,34510.0,81.0,1/0/00,388.8,Personal Auto,Four-Door Car,EQ62488,Oregon,15031.5645,College,F,59456,189,0,Personal Auto,907.2,Luxury Car
ZG48513,Cali,M,Bachelor,470667.70%,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,DU18362,California,M,Bachelor,353000.77%,0.0,108.0,1/0/00,777.6,Corporate Auto,Two-Door Car,OA92714,California,5055.902381,Bachelor,F,88989,63,1,Personal Auto,232.745161,Four-Door Car
JQ59145,Cali,Male,High School or Below,809341.03%,0.0,114.0,1/1/00,Personal Auto,Sports Car,722.024742,UG34438,Washington,F,College,1099059.48%,44552.0,137.0,1/0/00,311.103582,Personal Auto,SUV,QS76805,Arizona,8012.917253,High School or Below,M,0,107,0,Corporate Auto,513.6,SUV
FE84989,WA,Male,College,503574.46%,72672.0,63.0,1/0/00,Personal Auto,Four-Door Car,259.361117,XQ19793,Arizona,M,High School or Below,477294.38%,20993.0,133.0,1/0/00,638.4,Personal Auto,SUV,PQ46798,California,8300.70769,College,F,17034,113,0,Personal Auto,542.4,Sports Car
JT52858,Oregon,F,Bachelor,902786.72%,99002.0,112.0,1/1/00,Personal Auto,Four-Door Car,537.6,OB77084,Oregon,F,Bachelor,220233.52%,0.0,61.0,1/1/00,292.8,Personal Auto,Two-Door Car,IA56290,Arizona,2516.103555,College,F,88435,62,0,Personal Auto,136.263492,Four-Door Car
MC62068,California,Male,High School or Below,728888.48%,79494.0,91.0,1/0/00,Personal Auto,Four-Door Car,396.295614,LK74984,Washington,M,High School or Below,245917.17%,21190.0,65.0,1/2/00,312.0,Personal Auto,Four-Door Car,XU35186,California,2749.407985,High School or Below,F,71445,70,2,Personal Auto,336.0,Four-Door Car
EU27538,Oregon,Male,Master,1804247.94%,35704.0,225.0,1/0/00,Personal Auto,Luxury Car,358.281562,JE13986,Arizona,F,College,1037388.88%,62587.0,86.0,1/0/00,412.8,Personal Auto,Four-Door Car,DR84620,California,8071.334962,Bachelor,M,72149,101,0,Personal Auto,69.310166,SUV
RH42306,Arizona,F,Bachelor,499206.30%,0.0,71.0,1/0/00,Corporate Auto,Four-Door Car,653.388564,QR15221,Washington,F,High School or Below,258420.39%,22562.0,65.0,1/0/00,312.0,Personal Auto,Two-Door Car,QG27547,Oregon,2867.312197,Bachelor,F,23376,78,0,Personal Auto,374.4,Four-Door Car
US23612,Oregon,F,High School or Below,910226.78%,26049.0,118.0,1/0/00,Personal Auto,Two-Door Car,121.032372,LD49835,California,M,High School or Below,430742.28%,73345.0,107.0,1/0/00,513.6,Personal Auto,SUV,NM95102,Oregon,7285.030983,High School or Below,M,44788,61,0,Personal Auto,386.031248,Four-Door Car
WV76014,Arizona,Male,Doctor,254040.77%,70125.0,64.0,1/0/00,Special Auto,Four-Door Car,92.813396,EK19337,Oregon,F,High School or Below,304025.38%,0.0,83.0,1/0/00,989.105367,Personal Auto,Four-Door Car,KZ26788,Washington,4118.588554,Bachelor,F,69379,103,0,Personal Auto,494.4,Two-Door Car
RK96223,California,Male,College,1294189.19%,52369.0,110.0,1/1/00,Personal Auto,SUV,528.0,GD55093,California,F,Master,1916098.99%,22705.0,239.0,1/0/00,1294.700423,Personal Auto,Luxury SUV,GW25077,Oregon,5293.368089,Bachelor,F,38521,134,0,Personal Auto,557.184015,SUV
MF82000,WA,female,Bachelor,236534.86%,0.0,66.0,1/2/00,Special Auto,Four-Door Car,159.636956,RX19151,Washington,M,Bachelors,817657.68%,67137.0,111.0,1/5/00,314.880326,Personal Auto,SUV,ZU91897,California,13265.96256,High School or Below,M,34482,67,0,Personal Auto,83.830109,Four-Door Car
FM46980,Arizona,Male,College,572076.51%,41770.0,72.0,1/0/00,Personal Auto,Four-Door Car,476.156957,TJ30354,Oregon,F,Bachelor,528530.76%,22627.0,67.0,1/0/00,321.6,Personal Auto,Four-Door Car,ZK38095,California,2369.439009,Bachelor,F,0,68,0,Personal Auto,487.345606,Four-Door Car
SY56792,Oregon,Male,High School or Below,703553.41%,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,727.2,TA75663,California,F,Master,802499.30%,38702.0,101.0,1/3/00,253.364333,Personal Auto,SUV,TY84623,California,9816.528302,College,M,37256,62,0,Corporate Auto,128.969729,Four-Door Car
RF61565,California,M,College,263697.77%,31911.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,WG15841,California,M,Bachelor,281046.44%,26790.0,71.0,1/0/00,340.8,Personal Auto,Two-Door Car,IP69763,Washington,21914.40548,College,F,77311,181,0,Personal Auto,113.609508,SUV
IM94808,Nevada,M,Bachelor,539583.20%,70051.0,68.0,1/0/00,Corporate Auto,Four-Door Car,42.078345,LO68739,Arizona,F,Bachelor,773955.04%,64859.0,96.0,1/0/00,266.949266,Personal Auto,Four-Door Car,NF90665,Oregon,5143.88351,Bachelor,M,39268,66,1,Personal Auto,188.870427,Four-Door Car
VI14730,Oregon,M,High School or Below,838263.01%,19683.0,117.0,1/1/00,Personal Auto,Sports Car,561.6,BE61743,Washington,M,Bachelor,410979.36%,86657.0,103.0,1/0/00,316.227946,Personal Auto,Sports Car,KG53186,Nevada,3136.698216,College,M,59644,79,0,Corporate Auto,379.2,Four-Door Car
YR34119,WA,F,College,3116174.52%,30916.0,112.0,1/0/00,Personal Auto,SUV,200.11606,EG56026,Nevada,F,High School or Below,327516.20%,69263.0,81.0,1/2/00,494.847804,Personal Auto,Two-Door Car,KV57104,Oregon,7713.819259,High School or Below,F,0,68,0,Personal Auto,326.4,Four-Door Car
RR77985,Oregon,F,Bachelor,288774.23%,0.0,80.0,1/0/00,Personal Auto,Four-Door Car,676.944023,VF21395,Oregon,M,Bachelor,265269.53%,82655.0,66.0,1/0/00,316.8,Personal Auto,Two-Door Car,ZX93551,Arizona,2867.312197,Bachelor,F,23376,78,0,Personal Auto,374.4,Four-Door Car
QD28391,Washington,M,College,742584.53%,84302.0,62.0,1/0/00,Personal Auto,Four-Door Car,76.609295,SI11249,California,F,High School or Below,504822.62%,29401.0,65.0,1/0/00,312.0,Personal Auto,Four-Door Car,TR18337,Nevada,11516.40557,College,F,50854,73,0,Personal Auto,101.489422,Four-Door Car
WV17090,California,M,Bachelor,2558572.78%,0.0,116.0,1/0/00,Corporate Auto,SUV,830.623064,PU95227,Washington,M,Bachelors,336241.44%,22853.0,87.0,1/0/00,316.35678,Personal Auto,Four-Door Car,XV22744,Oregon,15025.19126,Bachelor,F,35158,76,0,Personal Auto,165.958605,Four-Door Car
TM23514,Oregon,M,College,1027260.82%,60145.0,132.0,1/0/00,Personal Auto,SUV,580.473259,VO87785,Arizona,F,College,485842.94%,26480.0,63.0,1/0/00,378.695238,Personal Auto,Two-Door Car,KK27683,Nevada,4013.849907,High School or Below,F,15413,106,0,Personal Auto,508.8,SUV
MQ68407,Oregon,F,Bachelor,437636.36%,63774.0,111.0,1/0/00,Personal Auto,Four-Door Car,60.036683,FS29897,Oregon,F,High School or Below,214492.15%,0.0,61.0,1/1/00,292.8,Personal Auto,Four-Door Car,HX11651,Oregon,3288.825448,College,M,17860,99,2,Personal Auto,656.122925,Two-Door Car
GJ59592,California,F,Bachelor,531889.66%,25134.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6,JG36165,California,M,Bachelor,604261.85%,0.0,83.0,1/0/00,904.385726,Personal Auto,Two-Door Car,FD73388,Arizona,13736.1325,Master,F,16181,181,0,Personal Auto,1261.319869,SUV
FY56083,Oregon,M,Bachelor,471976.22%,37057.0,61.0,1/1/00,Personal Auto,Four-Door Car,47.53101,SJ42058,Oregon,F,High School or Below,338720.33%,73268.0,84.0,1/0/00,93.623377,Personal Auto,Four-Door Car,KF70569,Nevada,3890.87081,High School or Below,M,91182,96,0,Personal Auto,249.140907,Four-Door Car
UA94723,Oregon,F,High School or Below,442803.16%,58577.0,110.0,1/0/00,Personal Auto,SUV,303.872752,CU13711,Oregon,F,Doctor,1086427.49%,95579.0,67.0,1/0/00,308.631159,Personal Auto,Four-Door Car,CC94413,Oregon,5701.277221,Bachelor,F,41154,72,1,Personal Auto,345.6,Four-Door Car
FW91032,California,M,High School or Below,587917.61%,85857.0,73.0,1/0/00,Corporate Auto,Four-Door Car,100.620067,GT65065,Oregon,F,Master,884265.00%,42142.0,112.0,1/0/00,396.17554,Personal Auto,Sports Car,QO59138,Arizona,2590.214327,High School or Below,M,18746,68,0,Personal Auto,326.4,Four-Door Car
DE34457,Oregon,F,Doctor,941690.85%,70602.0,116.0,1/0/00,Personal Auto,SUV,481.339891,LO77543,Washington,M,College,261661.39%,72302.0,66.0,1/0/00,316.8,Special Auto,Two-Door Car,JW58698,Oregon,3223.331519,College,F,70277,80,0,Personal Auto,84.818806,Four-Door Car
HD32044,Oregon,F,Master,828815.56%,33816.0,106.0,1/2/00,Corporate Auto,Four-Door Car,508.8,UQ85283,California,M,Bachelor,3076325.64%,41279.0,115.0,1/0/00,251.429988,Personal Auto,Sports Car,GT57081,Oregon,4912.025292,Bachelor,F,0,66,0,Personal Auto,668.158687,Four-Door Car
HH30454,Oregon,M,Bachelor,3265483.83%,0.0,153.0,1/0/00,Personal Auto,SUV,1101.6,QA49556,Washington,M,Master,520022.78%,23401.0,66.0,1/0/00,316.8,Personal Auto,Four-Door Car,GU82475,California,6532.010543,College,M,24919,84,1,Personal Auto,420.420755,Four-Door Car
AH84063,Oregon,F,College,471945.01%,89642.0,121.0,1/4/00,Corporate Auto,SUV,86.320022,GE29173,Nevada,M,Bachelor,859130.54%,0.0,128.0,1/0/00,1448.994134,Corporate Auto,SUV,BG60187,Oregon,8012.124825,Bachelor,M,0,79,0,Personal Auto,335.234102,Four-Door Car
QA17596,California,F,Bachelor,390347.48%,60068.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4,DF21541,Arizona,F,College,264657.38%,23170.0,71.0,1/0/00,340.8,Personal Auto,Four-Door Car,TN73558,Arizona,3731.504584,High School or Below,F,0,96,0,Personal Auto,460.8,Four-Door Car
XI41052,California,F,Bachelor,545725.97%,50044.0,139.0,1/0/00,Personal Auto,SUV,667.2,JL59571,Oregon,F,Bachelor,460724.43%,17343.0,63.0,1/0/00,208.659743,Corporate Auto,Two-Door Car,KK15032,Arizona,2702.380487,High School or Below,F,46370,68,1,Personal Auto,326.4,Two-Door Car
DI30528,California,F,Master,272535.64%,36650.0,69.0,1/1/00,Personal Auto,Four-Door Car,56.60333,DF94525,Oregon,M,College,486062.00%,25854.0,68.0,1/0/00,396.284835,Personal Auto,Four-Door Car,KA95160,Arizona,23207.24981,Master,F,89918,115,0,Personal Auto,423.116739,SUV
SC66359,Arizona,F,College,443397.37%,50653.0,110.0,1/0/00,Corporate Auto,SUV,262.865172,YO58424,Oregon,M,College,258084.99%,46900.0,66.0,1/0/00,316.8,Corporate Auto,Four-Door Car,KD52867,Oregon,3347.028677,High School or Below,F,37138,85,0,Personal Auto,612.0,Two-Door Car
EN61670,Arizona,F,Doctor,533246.27%,68931.0,66.0,1/0/00,Personal Auto,Four-Door Car,309.577946,UF32671,Washington,F,College,529139.53%,57338.0,66.0,1/0/00,316.8,Personal Auto,Four-Door Car,WY53775,Arizona,8382.630118,High School or Below,M,19683,117,1,Personal Auto,561.6,Sports Car
DQ10761,Oregon,M,Bachelor,231509.50%,0.0,73.0,1/1/00,Corporate Auto,Four-Door Car,350.4,HO92982,California,M,High School or Below,840575.30%,85355.0,71.0,1/2/00,458.568921,Personal Auto,Two-Door Car,HS94778,Oregon,11793.12528,College,F,32214,100,0,Personal Auto,296.560998,SUV
BQ51587,California,F,College,541195.37%,0.0,73.0,1/0/00,Personal Auto,Four-Door Car,365.364581,MZ24175,Arizona,F,College,309651.12%,21604.0,79.0,1/0/00,379.2,Personal Auto,Four-Door Car,EJ96266,California,2965.71995,College,F,26472,74,0,Personal Auto,355.2,Four-Door Car
JE21522,California,M,Bachelor,958733.23%,39266.0,80.0,1/0/00,Personal Auto,Four-Door Car,384.0,YD48962,Arizona,M,High School or Below,2941228.93%,0.0,107.0,1/0/00,513.6,Personal Auto,SUV,RK53289,California,5646.323845,Bachelor,F,39841,72,0,Personal Auto,440.128707,Two-Door Car
ZA64638,Nevada,F,High School or Below,976494.53%,0.0,98.0,1/1/00,Personal Auto,Four-Door Car,705.6,MF18493,California,M,College,1749752.20%,0.0,73.0,1/0/00,350.4,Personal Auto,Two-Door Car,JM93892,Arizona,5953.213546,College,M,61006,74,0,Corporate Auto,73.919629,Four-Door Car
EW38459,Nevada,F,Bachelor,256715.15%,40864.0,65.0,1/0/00,Corporate Auto,Four-Door Car,9.51528,EP61084,Nevada,F,High School or Below,321860.86%,68776.0,80.0,1/0/00,87.861666,Personal Auto,Four-Door Car,PY51000,California,12883.81001,Bachelor,M,34148,109,0,Personal Auto,451.566751,Four-Door Car
QW87316,Oregon,F,College,265062.28%,39035.0,68.0,1/0/00,Personal Auto,Four-Door Car,244.564334,EN38348,Oregon,F,High School or Below,2320726.97%,45039.0,96.0,1/0/00,192.144838,Personal Auto,Four-Door Car,HX74855,Washington,2471.528431,High School or Below,M,95697,61,0,Personal Auto,114.273025,Two-Door Car
IC43478,California,M,Bachelor,1126436.33%,34923.0,98.0,1/0/00,Personal Auto,Two-Door Car,639.105556,FG46258,Washington,F,College,692197.40%,16483.0,90.0,1/0/00,320.519977,Corporate Auto,Two-Door Car,VE64781,Arizona,2927.07045,Bachelor,F,75685,73,0,Personal Auto,369.918482,Four-Door Car
TE34064,California,M,High School or Below,216852.35%,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,453.6,LS98306,Nevada,M,High School or Below,1391853.48%,64113.0,117.0,1/0/00,561.6,Special Auto,Four-Door Car,KY57676,California,8400.788878,High School or Below,M,20870,72,0,Personal Auto,345.6,Four-Door Car
WU60905,California,F,High School or Below,861066.75%,0.0,111.0,1/0/00,Corporate Auto,SUV,532.8,PZ47477,Arizona,M,High School or Below,896630.98%,41829.0,76.0,1/0/00,416.365369,Personal Auto,Two-Door Car,JL42497,Nevada,2729.126448,High School or Below,F,66900,68,0,Personal Auto,326.4,Four-Door Car
YM18992,California,F,College,283464.62%,24506.0,71.0,1/0/00,Personal Auto,Two-Door Car,511.2,LT32391,California,F,Master,1198198.48%,21514.0,62.0,1/0/00,257.248789,Personal Auto,Two-Door Car,WQ91717,Arizona,7643.068919,College,F,0,106,1,Special Auto,508.8,SUV
PD55753,Oregon,M,High School or Below,893013.97%,0.0,82.0,1/0/00,Personal Auto,Four-Door Car,554.522969,KK30016,Nevada,M,Master,553262.98%,27722.0,69.0,1/0/00,331.2,Personal Auto,Four-Door Car,WO39817,Oregon,2493.591571,High School or Below,M,37043,68,3,Personal Auto,30.984936,Two-Door Car
KU56006,Arizona,F,College,553638.70%,52220.0,70.0,1/1/00,Personal Auto,Four-Door Car,336.0,OA89218,Nevada,F,College,1166057.30%,21506.0,151.0,1/0/00,826.658992,Personal Auto,Sports Car,HW20940,California,4170.572119,Bachelor,M,42837,106,0,Personal Auto,290.580543,SUV
MJ69973,Arizona,M,High School or Below,284085.43%,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,402.449823,CY47265,Oregon,F,High School or Below,288645.16%,10312.0,78.0,1/0/00,486.278557,Personal Auto,Four-Door Car,KE60943,California,4908.207958,Bachelor,M,33305,62,0,Special Auto,353.77899,Four-Door Car
TW43626,California,M,College,808288.10%,53554.0,67.0,1/0/00,Personal Auto,Four-Door Car,327.020539,ZI47663,Arizona,F,Bachelor,1274184.75%,73054.0,106.0,1/1/00,419.365958,Personal Auto,SUV,ZI48518,Nevada,3891.583881,High School or Below,F,0,103,0,Personal Auto,558.281543,Sports Car
XX84133,California,M,Bachelor,525473.43%,34476.0,67.0,1/1/00,Corporate Auto,Four-Door Car,5.3953,GO14008,Oregon,F,Bachelor,539809.81%,73775.0,67.0,1/0/00,321.6,Personal Auto,Four-Door Car,KI17749,Oregon,2682.423898,High School or Below,F,24823,69,0,Personal Auto,229.279059,Four-Door Car
ZW84453,Arizona,F,Bachelor,511623.76%,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,131.401291,BC43958,California,M,High School or Below,728503.10%,44788.0,61.0,1/0/00,386.031248,Corporate Auto,Four-Door Car,DS50601,Nevada,10003.24729,Bachelor,M,98192,84,1,Personal Auto,403.2,Four-Door Car
HO29524,California,M,College,303464.70%,68205.0,76.0,1/0/00,Personal Auto,Two-Door Car,99.382943,AI61368,Nevada,F,High School or Below,1765196.34%,22510.0,95.0,1/0/00,456.0,Personal Auto,Four-Door Car,PU78245,Arizona,13094.60875,Bachelor,F,88249,108,0,Personal Auto,244.803741,SUV
VE89726,California,female,High School or Below,802489.99%,0.0,119.0,1/1/00,Personal Auto,SUV,856.8,UF37831,Arizona,M,Master,1702989.34%,54613.0,213.0,1/0/00,731.559007,Personal Auto,Luxury SUV,MP96373,Washington,5719.785738,Master,M,54585,71,1,Personal Auto,340.8,Two-Door Car
GE87503,California,M,High School or Below,1821114.32%,53690.0,154.0,1/0/00,Personal Auto,SUV,739.2,PO90615,Arizona,F,High School or Below,249125.76%,25965.0,65.0,1/0/00,329.206567,Personal Auto,Four-Door Car,QK62680,Oregon,9393.968332,Master,F,39770,117,0,Personal Auto,561.6,Two-Door Car
PX90263,Oregon,M,High School or Below,512156.33%,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,518.4,GY74661,Oregon,F,College,403931.50%,34911.0,105.0,1/1/00,126.779673,Personal Auto,SUV,HN63935,Arizona,3433.82408,Master,M,85367,85,0,Personal Auto,67.975243,Four-Door Car
NI17718,California,female,High School or Below,215017.86%,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.8,MX50302,Oregon,M,Bachelor,261933.74%,78618.0,66.0,1/0/00,225.578841,Special Auto,Two-Door Car,ON30714,California,4932.878744,College,M,74809,61,0,Personal Auto,283.787384,Two-Door Car
FY32213,California,female,High School or Below,559538.99%,74454.0,71.0,1/0/00,Personal Auto,Four-Door Car,340.8,TC84427,Oregon,F,High School or Below,504968.96%,61080.0,66.0,1/2/00,294.284951,Personal Auto,Four-Door Car,FM61329,California,13610.10746,College,M,50144,114,0,Personal Auto,786.934186,SUV
RZ13254,Nevada,female,Bachelor,756282.40%,0.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,IQ82914,Oregon,F,Master,498345.71%,60415.0,62.0,1/0/00,72.665253,Personal Auto,Two-Door Car,NK91656,Oregon,2913.323811,Master,M,20075,79,1,Personal Auto,483.731784,Two-Door Car
GN45013,Oregon,M,High School or Below,538585.32%,29664.0,71.0,1/0/00,Personal Auto,Four-Door Car,340.8,TY74870,California,F,Master,253063.94%,25143.0,66.0,1/0/00,8.737111,Corporate Auto,Four-Door Car,MS94619,California,5111.304579,High School or Below,F,76448,63,0,Personal Auto,302.4,Four-Door Car
NM39588,Washington,F,Doctor,267805.83%,72450.0,66.0,1/0/00,Corporate Auto,Four-Door Car,84.218363,II83628,California,M,College,739671.97%,41045.0,64.0,1/1/00,394.582401,Personal Auto,Four-Door Car,MO38507,California,4540.381153,High School or Below,M,59556,113,0,Personal Auto,681.505066,Sports Car
KU84464,Nevada,female,Bachelor,942256.79%,47272.0,79.0,1/3/00,Personal Auto,Four-Door Car,64.546877,ZR77995,California,M,College,383289.85%,97729.0,95.0,1/0/00,97.176153,Personal Auto,Four-Door Car,PQ36549,Arizona,5598.273622,Bachelor,M,14174,72,0,Personal Auto,345.6,Four-Door Car
YH43527,Oregon,female,College,360586.03%,21585.0,92.0,1/0/00,Corporate Auto,Four-Door Car,441.6,QT89604,Arizona,F,High School or Below,496140.59%,55702.0,61.0,1/0/00,151.13336,Personal Auto,Four-Door Car,WG91434,Oregon,9638.066778,High School or Below,M,35230,61,1,Personal Auto,16.214764,Four-Door Car
RO30676,California,female,College,776259.06%,23827.0,106.0,1/2/00,Personal Auto,Four-Door Car,37.910623,AB21519,California,F,College,386148.63%,93272.0,95.0,1/0/00,281.110788,Personal Auto,Four-Door Car,WR43077,California,9801.287358,High School or Below,M,0,91,0,Corporate Auto,436.8,Four-Door Car
QL59704,Arizona,female,College,2344490.05%,69906.0,74.0,1/2/00,Corporate Auto,Four-Door Car,202.860399,MP47256,California,M,Bachelor,2265853.65%,23665.0,67.0,1/0/00,404.817249,Personal Auto,Four-Door Car,LR10110,Washington,5504.139033,Bachelor,F,0,73,0,Corporate Auto,350.4,Four-Door Car
QH19450,California,female,High School or Below,255817.82%,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6,MA47641,Oregon,M,High School or Below,1040896.87%,20228.0,101.0,1/1/00,523.815839,Personal Auto,SUV,XZ58588,Arizona,8447.801005,High School or Below,M,0,114,0,Corporate Auto,547.2,Four-Door Car
SA54664,Washington,M,Master,265438.10%,73196.0,66.0,1/1/00,Personal Auto,Four-Door Car,85.809817,GQ20713,Nevada,F,College,483471.05%,38713.0,66.0,1/4/00,316.8,Personal Auto,Four-Door Car,FX12602,Oregon,19927.63513,High School or Below,M,51352,66,3,Personal Auto,95.661376,Four-Door Car
CI38330,Washington,M,Bachelor,254978.61%,72217.0,6464.0,1/0/00,Personal Auto,Four-Door Car,91.146661,WW87934,Arizona,F,Bachelor,825766.65%,23815.0,73.0,1/0/00,424.330166,Personal Auto,Four-Door Car,BL55947,California,5815.261714,College,M,76675,72,0,Personal Auto,141.718568,Four-Door Car
WB38524,California,M,High School or Below,296959.33%,46131.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.2,HF75276,Nevada,F,High School or Below,305262.95%,0.0,93.0,1/3/00,446.4,Personal Auto,Four-Door Car,LA60344,Arizona,18690.34066,College,M,0,68,0,Personal Auto,326.4,Four-Door Car
CE56187,Oregon,female,Master,436312.46%,54514.0,109.0,1/3/00,Personal Auto,SUV,286.234931,ET64028,California,F,High School or Below,401231.93%,47221.0,99.0,1/0/00,475.2,Personal Auto,Two-Door Car,KQ44803,Arizona,7224.235434,College,M,0,72,2,Personal Auto,297.419028,Two-Door Car
JL19416,California,female,High School or Below,588430.86%,0.0,161.0,1/0/00,Personal Auto,SUV,1159.2,QA41472,Oregon,M,Bachelor,1335548.64%,34495.0,113.0,1/0/00,389.673944,Personal Auto,SUV,QY81331,Arizona,8595.982289,High School or Below,F,94242,71,1,Personal Auto,41.229484,Four-Door Car
JZ61422,Nevada,female,College,527219.16%,96668.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.8,OZ92426,Oregon,M,College,236443.16%,46264.0,62.0,1/0/00,199.37361,Corporate Auto,Four-Door Car,NP33989,Oregon,12362.08766,Bachelor,F,0,113,0,Personal Auto,217.92632,Four-Door Car
LA13377,California,M,Doctor,550989.57%,78879.0,69.0,1/1/00,Personal Auto,Four-Door Car,466.570791,UM69933,Nevada,M,College,248933.79%,46051.0,63.0,1/0/00,302.4,Personal Auto,Two-Door Car,CP30637,California,4916.303715,High School or Below,F,71153,122,0,Corporate Auto,209.019238,Sports Car
NC99948,Nevada,M,College,1631368.35%,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,RQ11502,Nevada,F,Bachelor,475572.00%,23975.0,128.0,1/0/00,614.4,Corporate Auto,SUV,RW50070,Arizona,8935.274872,High School or Below,M,63326,225,0,Personal Auto,1080.0,Luxury Car
QD34785,Arizona,female,Bachelor,567805.02%,0.0,76.0,1/0/00,Personal Auto,Four-Door Car,364.8,TX98128,California,F,College,1386438.50%,0.0,74.0,1/4/00,580.886785,Personal Auto,Four-Door Car,LO42325,California,5433.214031,Bachelor,F,29629,71,4,Special Auto,228.443418,Four-Door Car
RO26085,California,female,Bachelor,1210120.88%,0.0,112.0,1/0/00,Personal Auto,Sports Car,1252.406235,XY52165,Arizona,F,College,302042.48%,78561.0,74.0,1/0/00,355.2,Personal Auto,Two-Door Car,YQ50209,Arizona,4847.24253,High School or Below,M,0,69,0,Corporate Auto,599.152722,Four-Door Car
ES57969,Oregon,M,Bachelor,245357.08%,29735.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,GB39003,California,M,High School or Below,628530.52%,0.0,90.0,1/0/00,432.0,Personal Auto,Two-Door Car,JP35025,California,5714.165863,Master,F,23726,74,0,Corporate Auto,355.2,Four-Door Car
JK55587,California,M,High School or Below,507566.27%,23082.0,65.0,1/0/00,Special Auto,Four-Door Car,312.0,VH43367,California,F,High School or Below,250602.20%,61402.0,63.0,1/2/00,302.4,Special Auto,Four-Door Car,WZ13788,Nevada,10097.68732,High School or Below,F,48999,86,3,Corporate Auto,412.8,Four-Door Car
RN97635,Arizona,M,Bachelor,321497.94%,53984.0,80.0,1/0/00,Corporate Auto,Four-Door Car,421.484456,KG81168,Arizona,M,Bachelor,282630.76%,65090.0,71.0,1/0/00,73.995096,Personal Auto,Four-Door Car,IS21172,Oregon,4726.869327,Bachelor,F,13037,124,0,Personal Auto,839.348464,SUV
BI76326,California,female,College,1227534.31%,52135.0,156.0,1/0/00,Personal Auto,SUV,430.505942,WU14549,Nevada,M,Master,436971.79%,88495.0,108.0,1/0/00,535.926948,Personal Auto,Two-Door Car,CL10476,Arizona,7079.790277,College,M,24245,63,0,Corporate Auto,302.4,Two-Door Car
JA34909,California,female,College,272221.07%,17576.0,71.0,1/0/00,Corporate Auto,Four-Door Car,398.502948,XB17553,Nevada,M,Bachelor,1217458.80%,52797.0,104.0,1/1/00,88.173438,Personal Auto,Sports Car,WO83615,Nevada,5395.434909,Bachelor,M,44047,137,0,Corporate Auto,969.232217,Sports Car
OJ90342,Oregon,female,Bachelor,245744.09%,29486.0,62.0,1/0/00,Personal Auto,Four-Door Car,7.646763,MY88518,Nevada,M,Doctor,352804.43%,31278.0,92.0,1/4/00,441.6,Personal Auto,Two-Door Car,ZJ77881,Oregon,9452.996411,Bachelor,F,91942,117,0,Personal Auto,561.6,Four-Door Car
CM88932,Oregon,female,Master,355484.53%,58557.0,88.0,1/0/00,Corporate Auto,Four-Door Car,55.510526,XE18554,California,F,Bachelor,1043657.47%,24177.0,92.0,1/1/00,441.6,Personal Auto,Four-Door Car,GT37101,Oregon,5284.312599,High School or Below,F,37640,67,0,Personal Auto,174.046849,Two-Door Car
JJ97525,California,M,Bachelor,492954.97%,25632.0,63.0,1/0/00,Personal Auto,Two-Door Car,351.270869,NY97446,Oregon,F,High School or Below,274612.14%,96339.0,68.0,1/0/00,293.205349,Corporate Auto,Four-Door Car,WE13528,California,20215.3918,High School or Below,F,77058,63,0,Personal Auto,119.331041,Four-Door Car
